index,0,1,2,3,4,5
244,1243 - GILLAUX Jacques,V2H,19,34:04:33,13:52:49,Francia
245,176 - DELIKAT Patrick,V1H,82,34:07:33,13:55:49,Francia
246,"316 - KIERNAN Sigurdur
ARMANN",V1H,83,34:07:39,13:55:55,Islandia
247,1633 - GILGEN Roger,V1H,84,34:08:11,13:56:27,Suiza
248,662 - LORION Yann,SEH,126,34:09:14,13:57:30,Alemania
249,368 - MARGEIRSDOTTIR Elisabet,SEF,12,34:09:57,13:58:13,Islandia
250,"621 - SANZ CAVA Jose Ramon
CUENCA XTREME",V1H,85,34:12:38,14:00:54,España
251,"2635 - VECVAGARIS Matiss
LIEPAJA / SPORTLAT / NERGAS",SEH,127,34:15:26,14:03:42,Letonia
252,"240 - HAUBERT Donnie
RUNNERS ROOST",SEH,128,34:15:35,14:03:51,Estados Unidos
253,"553 - WEBB Chris
SADDLEWORTH",SEH,129,34:16:07,14:04:23,Reino Unido
254,505 - GRIGNON-MASSE Jean-Alberic,V2H,20,34:16:08,14:04:24,Francia
255,965 - ABBEY Gabriel,V1H,86,34:17:55,14:06:11,Francia
256,"456 - RAFFAN Mike
COSMIC HILLBASHERS AC",SEH,130,34:17:58,14:06:14,Reino Unido
257,"359 - CARCELES ALVAREZ Joaquin
SPOR-TI",SEH,131,34:18:52,14:07:08,España
258,"2076 - DOSSOT Jean-Marc
ERRANCE REIMS",V2H,21,34:21:20,14:09:36,Francia
259,2093 - CIVALLERO Diego,V1H,87,34:21:34,14:09:50,Italia
260,"518 - VAUTRIN Olivier
RUMBA",V1H,88,34:21:42,14:09:58,Francia
261,1092 - MAGNIN Ludovic,SEH,132,34:21:46,14:10:02,Francia
262,"2336 - BIZON Patrice
ATRAS",SEH,133,34:22:05,14:10:21,Francia
263,"916 - LINEK Michal
CLEAREX CHORZOW",SEH,134,34:25:38,14:13:54,Polonia
264,"1397 - ITTY Sophie
AVEC",SEF,13,34:28:01,14:16:17,Francia
265,2126 - SULYOK Abris,SEH,135,34:28:30,14:16:46,Hungría
266,"1259 - ROYET Denis
DIJON TRIATHLON",V1H,89,34:28:31,14:16:47,Francia
267,602 - NAMIKI Yuichiro,V1H,90,34:28:44,14:17:00,Japón
268,"215 - VUILLEN Loris
COURMAYEUR. TRAILER",V2H,22,34:29:02,14:17:18,Italia
269,"1851 - ANGELI Paolo
ATLETICA ROTALIANA",SEH,136,34:29:03,14:17:19,Italia
270,"1256 - PENA MONTES Ivan
EGAN",SEH,137,34:32:34,14:20:50,España
271,"700 - LECLERE Michel
COURIR A FABREGUES",V1H,91,34:37:53,14:26:09,Francia
272,1061 - BOGNER Guillaume,SEH,138,34:39:24,14:27:40,Francia
273,"2579 - MONTEIL Loic
SALTA BARTAS",V1H,92,34:40:25,14:28:41,Francia
274,"515 - KUDERER Bernd
LG BRANDENKOPF",V1H,93,34:40:49,14:29:05,Alemania
275,"545 - KARLSSON Niclas
BAKTAIVE ULTRA",V2H,23,34:43:27,14:31:43,Suecia
276,"2267 - MENIGOT François
COURNON A.C.",SEH,139,34:45:41,14:33:57,Francia
277,393 - NOORKOIV James,SEH,140,34:46:46,14:35:02,Reino Unido
278,"1430 - MONTGOMERY-SMITH Philip
ST. AUSTELL RUNNING CLUB",V1H,94,34:48:55,14:37:11,Reino Unido
279,1737 - KALITA Arkadiusz,V1H,95,34:49:38,14:37:54,Polonia
280,2138 - PACKER Ignacio,V2H,24,34:49:46,14:38:02,Reino Unido
281,"170 - FERNANDEZ BOLTA Jordi
VIZCARES-LOS CASTRONES",SEH,141,34:51:31,14:39:47,España
282,"2576 - CAYUELA GOMEZ Miguel Angel
DEPORTES MATCH 1",V1H,96,34:52:02,14:40:18,España
283,"164 - RIO Olivier
sobhi sport quimper",V1H,97,34:52:14,14:40:30,Francia
284,"141 - LE FLOCH Thierry
COURIR A CHATEAULIN",V1H,98,34:52:19,14:40:35,Francia
285,"622 - PETERSEN Heine
MARATHON SPORT",V2H,25,34:52:31,14:40:47,Noruega
286,317 - CABARET Regis,SEH,142,34:54:19,14:42:35,Francia
287,1249 - BAIARDI Luca,V2H,26,34:54:20,14:42:36,Italia
288,542 - LAFARGUE Xavier,V1H,99,34:55:47,14:44:03,Francia
